Sr,Stroke No.,Date,Advance Time,Excavation per Stroke,Boring Energy,RPM,Torque,Thrust Force,Speed,Gripper Pressure,Total Revolution,Front Shield Pressure LHS,Front Shield Pressure RHS,Q-Value,Q-Value based,Penetration
78,4108,2016-12-04,38,1.527,12.3,3.8,1200.0,4463.0,40.0,191.0,144,84.0,56.0,4.0,4.0,10.4
79,4109,2016-12-04,29,1.27,11.8,4.0,1200.0,5086.0,44.0,190.0,116,57.0,85.0,4.0,4.0,10.8
80,3362,2016-04-13,34,1.526,9.4,3.8,1000.0,4787.0,44.0,193.0,129,65.0,70.0,4.0,5.0,11.5
81,3363,2016-04-13,32,1.53,12.5,4.2,1300.0,3957.0,47.0,189.0,134,64.0,58.0,4.0,4.0,11.2
82,3364,2016-04-13,28,1.332,13.1,3.5,1600.0,4101.0,46.0,191.0,98,51.0,78.0,4.0,4.0,13.4
83,3365,2016-04-13,26,1.315,11.2,3.7,1400.0,3847.0,50.0,188.0,96,52.0,71.0,4.0,4.0,13.7
84,3366,2016-04-13,26,1.227,9.4,4.1,1000.0,3758.0,47.0,188.0,107,78.0,53.0,4.0,5.0,11.6
85,3367,2016-04-14,22,1.224,8.4,4.2,1000.0,3608.0,54.0,191.0,92,68.0,57.0,4.0,5.0,12.7
86,3368,2016-04-14,23,14.237,8.5,4.1,1000.0,3495.0,52.0,190.0,94,68.0,62.0,4.0,5.0,12.5
87,3369,2016-04-14,26,1.424,9.8,4.1,1200.0,3309.0,54.0,191.0,107,80.0,61.0,4.0,4.0,13.3
88,3370,2016-04-14,23,1.371,9.9,4.1,1300.0,3443.0,58.0,189.0,94,84.0,68.0,4.0,4.0,14.0
89,3371,2016-04-14,26,1.318,9.0,3.8,1100.0,3707.0,50.0,189.0,99,68.0,73.0,4.0,5.0,13.2
90,3372,2016-04-14,26,1.319,11.2,3.7,1400.0,3847.0,50.0,193.0,96,52.0,88.0,4.0,4.0,13.7
91,3373,2016-04-14,26,1.321,11.6,3.9,1400.0,3357.0,51.0,189.0,101,50.0,86.0,4.0,4.0,13.2
92,3374,2016-04-14,27,1.323,10.6,3.7,1300.0,3533.0,49.0,189.0,100,76.0,77.0,4.0,4.0,13.0
93,3375,2016-04-14,24,1.241,12.3,3.8,1500.0,4486.0,50.0,191.0,91,79.0,46.0,4.0,4.0,13.3
94,3376,2016-04-15,25,1.231,13.7,3.8,1600.0,4629.0,48.0,193.0,95,76.0,52.0,4.0,3.0,12.8
95,3377,2016-04-15,24,1.204,13.7,3.8,1600.0,5123.0,48.0,191.0,91,66.0,59.0,4.0,3.0,12.7
96,3378,2016-04-15,24,1.027,12.4,3.8,1300.0,3842.0,43.0,186.0,91,64.0,57.0,4.0,4.0,11.3
97,3379,2016-04-15,27,1.211,10.9,3.4,1300.0,3571.0,44.0,190.0,92,56.0,55.0,4.0,4.0,12.9
98,3380,2016-04-15,13,0.592,9.5,3.6,1100.0,2571.0,45.0,191.0,47,57.0,64.0,4.0,4.0,12.5
99,3381,2016-04-15,17,0.841,11.9,3.7,1400.0,3861.0,47.0,189.0,63,47.0,74.0,4.0,4.0,12.8
100,3382,2016-04-15,30,1.429,10.5,3.8,1200.0,3660.0,47.0,191.0,114,70.0,75.0,4.0,4.0,12.2
101,3383,2016-04-16,30,1.437,9.6,3.8,1100.0,3661.0,47.0,190.0,114,74.0,58.0,4.0,4.0,12.3
102,3384,2016-04-16,29,1.426,8.4,4.2,900.0,4143.0,49.0,190.0,122,83.0,71.0,4.0,5.0,11.6
103,3385,2016-04-16,25,1.225,12.3,4.3,1300.0,4967.0,49.0,188.0,108,75.0,67.0,4.0,4.0,11.4
104,3386,2016-04-17,23,1.025,12.8,3.4,1500.0,4965.0,43.0,183.0,78,87.0,72.0,4.0,4.0,12.6
105,3387,2016-04-17,29,1.233,12.6,3.5,1400.0,4208.0,42.0,189.0,102,85.0,75.0,4.0,4.0,11.7
106,3388,2016-04-17,26,1.196,9.8,3.7,1100.0,3977.0,45.0,190.0,96,68.0,69.0,4.0,4.0,12.1
107,3389,2016-04-17,26,1.203,10.0,3.8,1100.0,3885.0,45.0,188.0,99,61.0,71.0,4.0,4.0,11.9
108,3390,2016-04-17,25,1.209,10.5,3.9,1200.0,4183.0,48.0,190.0,98,65.0,68.0,4.0,4.0,12.4
109,3391,2016-04-18,26,1.228,12.0,4.0,1300.0,4183.0,47.0,192.0,104,62.0,68.0,4.0,4.0,11.9
110,3392,2016-04-18,26,1.222,11.0,3.9,1200.0,4195.0,46.0,187.0,101,67.0,72.0,4.0,4.0,11.8
111,3393,2016-04-18,28,1.227,12.7,3.9,1300.0,4005.0,43.0,188.0,109,62.0,64.0,4.0,4.0,11.2
112,3394,2016-04-18,30,1.431,10.1,4.0,1100.0,3959.0,47.0,190.0,120,57.0,69.0,4.0,4.0,11.6
113,3395,2016-04-18,28,1.206,10.8,3.5,1200.0,3990.0,42.0,188.0,98,50.0,66.0,4.0,4.0,12.2
114,3396,2016-04-18,28,1.244,13.7,3.5,1600.0,4175.0,44.0,194.0,98,51.0,74.0,4.0,3.0,12.5
115,3397,2016-04-18,26,1.252,12.5,3.7,1500.0,3945.0,48.0,189.0,96,55.0,83.0,4.0,4.0,12.8
116,3398,2016-04-18,25,1.223,10.1,3.8,1200.0,4925.0,49.0,189.0,95,67.0,75.0,4.0,4.0,12.7
117,3399,2016-04-18,25,1.22,9.5,4.2,1000.0,4433.0,48.0,190.0,105,65.0,70.0,4.0,4.0,11.3
118,3400,2016-04-19,31,1.424,10.6,4.0,1100.0,3723.0,45.0,189.0,124,61.0,66.0,4.0,4.0,11.5
119,3401,2016-04-19,31,1.428,8.5,4.0,900.0,4093.0,46.0,191.0,124,58.0,87.0,4.0,5.0,11.6
120,3402,2016-04-19,19,0.923,10.2,3.7,1200.0,4571.0,47.0,189.0,70,51.0,81.0,4.0,4.0,12.6
121,3403,2016-04-19,7,0.31,8.6,3.7,900.0,4370.0,42.0,188.0,26,54.0,79.0,4.0,5.0,11.3
122,3404,2016-04-19,27,1.257,11.5,3.5,1400.0,4225.0,46.0,189.0,95,73.0,73.0,4.0,4.0,13.1
123,3405,2016-04-19,28,1.233,12.1,4.0,1200.0,4685.0,43.0,188.0,112,72.0,52.0,4.0,4.0,10.7
124,3406,2016-04-20,25,1.23,10.0,4.1,1100.0,4759.0,49.0,190.0,103,53.0,68.0,4.0,4.0,12.0
125,3407,2016-04-20,32,1.408,9.6,3.8,1000.0,3978.0,43.0,191.0,122,53.0,73.0,4.0,4.0,11.4
126,3408,2016-04-20,31,1.374,10.0,3.7,1100.0,4050.0,44.0,192.0,115,70.0,59.0,4.0,4.0,11.9
127,3409,2016-04-20,24,1.184,9.2,3.7,1100.0,3932.0,48.0,189.0,89,83.0,60.0,4.0,5.0,12.8
128,3410,2016-04-20,25,1.244,11.0,3.9,1300.0,4034.0,50.0,190.0,98,81.0,50.0,4.0,4.0,12.8
129,3411,2016-04-20,24,1.216,12.0,3.9,1400.0,3853.0,49.0,188.0,94,80.0,59.0,4.0,4.0,12.6
130,3412,2016-04-20,25,1.235,9.2,3.8,1100.0,4425.0,49.0,192.0,95,69.0,63.0,4.0,5.0,12.7
131,3413,2016-04-21,19,0.873,10.3,3.8,1100.0,4903.0,44.0,189.0,72,69.0,54.0,4.0,4.0,11.6
132,3414,2016-04-21,13,0.59,11.2,3.8,1200.0,5026.0,44.0,190.0,49,63.0,51.0,4.0,4.0,11.6
133,3415,2016-04-21,30,1.343,12.1,3.8,1300.0,4553.0,44.0,187.0,114,64.0,62.0,4.0,4.0,11.5
134,3416,2016-04-21,22,1.05,11.0,3.6,1300.0,4190.0,46.0,190.0,79,68.0,65.0,4.0,4.0,12.9
135,3417,2016-04-21,21,1.018,11.1,4.0,1200.0,5385.0,47.0,187.0,84,57.0,77.0,4.0,4.0,11.9
136,3418,2016-04-21,25,1.07,12.0,3.1,1500.0,4804.0,42.0,189.0,78,66.0,71.0,4.0,4.0,13.5
137,3419,2016-04-21,23,0.973,9.8,3.8,1000.0,4250.0,42.0,190.0,87,65.0,74.0,4.0,4.0,11.2
138,3420,2016-04-22,27,1.184,11.5,3.8,1200.0,4988.0,43.0,188.0,103,78.0,67.0,4.0,4.0,11.4
139,3421,2016-04-22,21,0.995,10.4,3.7,1200.0,4774.0,46.0,186.0,78,70.0,80.0,4.0,4.0,12.6
140,3422,2016-04-22,23,1.022,12.7,3.9,1300.0,3982.0,43.0,190.0,90,51.0,69.0,4.0,4.0,11.0
141,3423,2016-04-23,22,1.031,8.0,3.8,900.0,3687.0,46.0,192.0,84,52.0,66.0,4.0,5.0,12.1
142,3424,2016-04-23,24,1.004,8.3,3.5,900.0,3262.0,41.0,193.0,84,53.0,66.0,4.0,5.0,11.7
143,3425,2016-04-23,27,1.181,9.0,3.5,1000.0,3355.0,42.0,191.0,95,64.0,74.0,4.0,5.0,12.2
144,3426,2016-04-23,22,1.016,7.4,3.4,900.0,3463.0,45.0,191.0,75,69.0,73.0,4.0,5.0,13.1
145,3427,2016-04-23,21,1.05,9.4,3.8,1100.0,3276.0,48.0,191.0,80,71.0,69.0,4.0,5.0,12.7
146,3428,2016-04-23,22,1.229,9.0,3.8,1200.0,3206.0,55.0,189.0,84,71.0,68.0,4.0,5.0,14.4
147,3429,2016-04-23,23,-0.064,9.5,3.9,1200.0,3473.0,53.0,186.0,90,85.0,73.0,4.0,5.0,13.8
148,3430,2016-04-23,24,1.227,11.0,4.0,1300.0,4288.0,51.0,189.0,96,84.0,36.0,4.0,4.0,12.8
149,3431,2016-04-23,23,1.213,12.2,4.0,1500.0,4984.0,53.0,189.0,92,89.0,57.0,4.0,4.0,13.2
150,3432,2016-04-23,25,1.22,13.8,4.0,1500.0,5020.0,47.0,191.0,100,83.0,74.0,4.0,4.0,11.8
151,3433,2016-04-24,28,1.223,11.9,3.9,1300.0,4039.0,46.0,189.0,109,54.0,68.0,4.0,4.0,11.7
152,3434,2016-04-24,28,1.318,9.3,3.6,1100.0,3501.0,46.0,186.0,101,55.0,64.0,4.0,5.0,12.7
153,3435,2016-04-24,25,1.204,8.3,3.7,1000.0,3396.0,48.0,189.0,93,74.0,61.0,4.0,5.0,12.9
154,3436,2016-04-24,31,1.508,13.5,4.0,1500.0,3858.0,48.0,188.0,124,70.0,64.0,4.0,4.0,12.1
155,3437,2016-04-24,27,1.481,10.5,4.1,1300.0,3957.0,55.0,188.0,111,74.0,71.0,4.0,4.0,13.4
156,3438,2016-04-24,24,1.462,13.7,4.4,1700.0,5201.0,59.0,189.0,106,76.0,69.0,4.0,3.0,13.4
157,3439,2016-04-24,22,1.175,14.1,4.0,1700.0,5057.0,52.0,191.0,88,70.0,74.0,4.0,3.0,13.0
158,3440,2016-04-25,31,1.474,15.4,4.1,1600.0,5834.0,46.0,190.0,127,67.0,61.0,4.0,3.0,11.4
159,3441,2016-04-25,33,1.498,13.6,3.7,1500.0,5096.0,44.0,189.0,122,82.0,76.0,4.0,4.0,11.9
160,3442,2016-04-25,30,1.383,10.6,3.4,1300.0,4486.0,45.0,192.0,102,73.0,79.0,4.0,4.0,13.2
161,3443,2016-04-25,24,1.325,8.0,4.0,1000.0,3794.0,54.0,187.0,96,69.0,64.0,4.0,5.0,13.6
162,3444,2016-04-25,23,1.411,13.4,4.3,1700.0,4520.0,59.0,189.0,99,48.0,82.0,4.0,4.0,13.7
163,3445,2016-04-25,26,1.461,9.5,4.1,1200.0,4114.0,56.0,194.0,107,64.0,87.0,4.0,4.0,13.7
164,3446,2016-04-26,29,1.435,7.4,4.2,800.0,4380.0,49.0,190.0,122,75.0,69.0,4.0,5.0,11.8
165,3447,2016-04-26,28,1.232,9.4,3.8,1000.0,4881.0,44.0,189.0,106,76.0,83.0,4.0,5.0,11.4
166,3448,2016-04-26,27,1.223,9.5,3.6,1100.0,5126.0,45.0,194.0,97,87.0,60.0,4.0,5.0,12.7
167,3449,2016-04-26,26,1.18,8.0,3.6,900.0,4792.0,44.0,190.0,94,89.0,64.0,4.0,5.0,12.2
168,3450,2016-04-26,14,0.674,7.4,4.0,800.0,5197.0,47.0,188.0,56,76.0,84.0,4.0,5.0,11.7
169,3451,2016-04-26,17,0.888,8.6,4.1,1000.0,5276.0,52.0,189.0,70,45.0,87.0,4.0,5.0,12.5
170,3452,2016-04-26,31,1.303,7.9,3.3,900.0,4423.0,41.0,190.0,102,78.0,55.0,4.0,5.0,12.3
171,3453,2016-04-26,29,1.241,6.8,3.3,800.0,3941.0,42.0,191.0,96,88.0,36.0,4.0,5.0,12.9
172,3454,2016-04-27,29,1.215,6.1,3.3,700.0,3330.0,41.0,190.0,96,62.0,50.0,4.0,5.0,12.8
173,3455,2016-04-27,25,1.038,9.8,3.7,1000.0,3348.0,41.0,184.0,93,62.0,73.0,4.0,4.0,11.1
174,3456,2016-04-27,21,1.032,9.2,3.7,1100.0,3201.0,48.0,189.0,78,45.0,76.0,4.0,5.0,13.0
175,3457,2016-04-27,21,1.029,9.0,3.7,1100.0,4227.0,49.0,189.0,78,36.0,74.0,4.0,5.0,13.1
176,3458,2016-04-27,23,1.216,9.6,4.1,1100.0,3405.0,51.0,191.0,94,48.0,70.0,4.0,4.0,12.5
177,3459,2016-04-27,22,1.217,8.0,4.0,1000.0,2529.0,54.0,190.0,88,59.0,72.0,4.0,5.0,13.3
178,3460,2016-04-28,25,1.242,7.5,3.7,900.0,3539.0,48.0,189.0,93,79.0,64.0,4.0,5.0,13.1
179,3461,2016-04-28,26,1.231,7.9,3.8,900.0,2679.0,47.0,188.0,99,71.0,50.0,4.0,5.0,12.3
180,3462,2016-04-28,26,1.218,9.6,3.8,1100.0,2923.0,47.0,190.0,99,63.0,71.0,4.0,4.0,12.2
181,3463,2016-04-28,30,1.38,8.9,3.8,1000.0,3332.0,46.0,188.0,114,51.0,75.0,4.0,5.0,12.1
182,3464,2016-04-28,24,1.198,7.8,3.9,900.0,3466.0,49.0,188.0,94,49.0,80.0,4.0,5.0,12.6
183,3465,2016-04-28,22,1.215,9.8,4.0,1200.0,2504.0,53.0,188.0,88,36.0,76.0,4.0,4.0,13.5
184,3466,2016-04-28,22,1.229,8.7,4.1,1100.0,2034.0,56.0,190.0,90,45.0,73.0,4.0,5.0,13.6
185,3467,2016-04-28,22,1.26,8.3,4.3,1000.0,2314.0,56.0,187.0,95,61.0,74.0,4.0,5.0,13.1
186,3468,2016-04-28,21,1.201,10.0,4.0,1300.0,2177.0,56.0,189.0,84,61.0,75.0,4.0,4.0,13.9
187,3469,2016-04-28,22,1.224,10.6,4.0,1300.0,3680.0,53.0,188.0,88,65.0,81.0,4.0,4.0,13.4
188,3470,2016-04-28,24,1.231,8.9,4.1,1000.0,4072.0,50.0,188.0,98,63.0,90.0,4.0,5.0,12.2
189,3471,2016-04-29,25,1.24,7.0,3.9,800.0,3802.0,48.0,186.0,98,69.0,77.0,4.0,5.0,12.4
190,3472,2016-04-29,26,1.36,7.5,4.0,900.0,4023.0,52.0,190.0,104,65.0,69.0,4.0,5.0,13.2
191,3473,2016-04-29,28,1.422,7.6,3.9,900.0,3891.0,50.0,188.0,109,74.0,58.0,4.0,5.0,12.8
192,3474,2016-04-29,24,1.337,11.2,4.0,1400.0,3545.0,54.0,191.0,96,79.0,70.0,3.0,4.0,13.6
193,3475,2016-04-29,25,1.443,10.9,4.1,1400.0,3309.0,57.0,188.0,103,73.0,72.0,4.0,4.0,14.0
194,3476,2016-04-29,21,1.252,10.7,4.1,1400.0,3165.0,58.0,185.0,86,60.0,70.0,4.0,4.0,14.3
195,3477,2016-04-29,22,1.292,11.1,4.2,1400.0,2740.0,57.0,189.0,92,59.0,66.0,4.0,4.0,13.6
196,3478,2016-04-29,22,1.242,10.2,4.0,1300.0,2070.0,55.0,190.0,88,52.0,73.0,4.0,4.0,13.6
197,3479,2016-04-29,26,1.23,10.4,3.7,1200.0,2847.0,46.0,192.0,96,66.0,67.0,4.0,4.0,12.4
198,3480,2016-04-30,25,1.224,11.3,3.6,1400.0,3139.0,48.0,187.0,90,87.0,58.0,4.0,4.0,13.4
199,3481,2016-04-30,28,1.325,11.8,3.6,1400.0,3251.0,46.0,188.0,101,85.0,65.0,4.0,4.0,12.8
200,3482,2016-04-30,23,1.208,9.6,3.6,1300.0,4032.0,53.0,189.0,83,77.0,64.0,4.0,4.0,14.5
201,3483,2016-04-30,22,1.208,7.2,4.0,900.0,3166.0,54.0,186.0,88,64.0,85.0,4.0,5.0,13.5
202,3484,2016-04-30,23,1.213,10.3,3.8,1300.0,3497.0,52.0,189.0,87,78.0,84.0,4.0,4.0,13.7
1,3485,2016-01-05,27,1.233,10.0,3.2,1300.0,3907.0,45.0,189.0,86,92.0,51.0,4.0,4.0,13.8
2,3486,2016-01-05,32,1.422,11.8,3.2,1500.0,3917.0,44.0,191.0,102,78.0,52.0,4.0,4.0,13.8
3,3487,2016-01-05,30,1.332,13.3,3.3,1600.0,4079.0,43.0,188.0,99,67.0,66.0,4.0,4.0,13.1
4,3488,2016-01-05,31,1.314,15.9,3.1,2000.0,4535.0,42.0,188.0,96,72.0,64.0,4.0,3.0,13.5
5,3489,2016-01-05,28,1.247,19.7,3.5,2300.0,5704.0,44.0,190.0,98,80.0,35.0,4.0,2.0,12.7
6,3490,2016-01-05,34,1.315,20.9,3.2,2300.0,6568.0,38.0,192.0,109,70.0,65.0,4.0,2.0,11.9
7,3491,2016-02-05,32,1.333,19.5,3.7,2000.0,7216.0,41.0,189.0,118,89.0,58.0,4.0,2.0,11.2
8,3492,2016-02-05,34,1.296,14.6,3.2,1600.0,6259.0,38.0,189.0,109,52.0,72.0,4.0,3.0,11.7
9,3493,2016-02-05,35,1.215,21.2,2.9,2300.0,7522.0,34.0,192.0,102,55.0,79.0,4.0,2.0,11.7
10,3494,2016-02-05,37,1.194,15.7,2.9,1600.0,5997.0,32.0,184.0,107,83.0,59.0,4.0,3.0,11.2
11,3495,2016-03-05,43,1.433,14.2,2.9,1500.0,4891.0,33.0,188.0,125,73.0,76.0,4.0,3.0,11.6
12,3496,2016-03-05,39,1.38,9.9,2.9,1100.0,4875.0,35.0,191.0,113,67.0,70.0,4.0,4.0,12.1
13,3497,2016-03-05,27,1.305,10.3,3.8,1200.0,3668.0,48.0,190.0,103,78.0,82.0,4.0,4.0,12.8
14,3498,2016-03-05,32,1.226,9.6,2.8,1200.0,3649.0,38.0,188.0,90,72.0,90.0,4.0,4.0,13.5
15,3499,2016-03-05,31,1.219,7.8,2.8,1000.0,3342.0,39.0,190.0,87,67.0,73.0,4.0,5.0,13.6
16,3500,2016-04-05,32,1.223,8.0,2.8,1000.0,2999.0,38.0,187.0,90,62.0,62.0,4.0,5.0,13.6
17,3501,2016-04-05,30,1.232,8.0,2.7,1100.0,3081.0,40.0,191.0,81,62.0,63.0,4.0,5.0,14.7
18,3502,2016-04-05,29,1.328,7.4,3.0,1000.0,2726.0,44.0,187.0,87,61.0,61.0,4.0,5.0,14.7
19,3503,2016-04-05,33,1.266,11.1,2.8,1400.0,2851.0,38.0,189.0,92,63.0,60.0,3.0,4.0,13.4
20,3504,2016-04-05,32,1.511,10.7,3.6,1300.0,2969.0,47.0,189.0,115,81.0,47.0,3.0,4.0,13.1
21,3505,2016-04-05,29,1.51,10.8,3.7,1400.0,3568.0,52.0,189.0,107,86.0,25.0,3.0,4.0,13.9
22,3506,2016-04-05,30,1.503,12.8,3.7,1600.0,3680.0,50.0,188.0,111,68.0,72.0,3.0,4.0,13.5
23,3507,2016-05-05,27,1.504,12.8,4.0,1600.0,3913.0,54.0,189.0,108,65.0,69.0,3.0,4.0,13.5
24,3508,2016-05-05,28,1.436,9.7,4.1,1100.0,3384.0,50.0,193.0,115,62.0,61.0,3.0,4.0,12.1
25,3509,2016-05-05,28,1.406,8.4,3.9,1000.0,3225.0,50.0,189.0,109,68.0,51.0,3.0,5.0,12.8
26,3510,2016-05-05,28,1.429,9.3,3.9,1100.0,3515.0,50.0,190.0,109,80.0,52.0,3.0,5.0,12.9
27,3511,2016-05-05,27,1.515,13.4,4.0,1700.0,4274.0,55.0,188.0,108,80.0,50.0,3.0,4.0,13.6
28,3512,2016-05-05,27,1.499,14.8,3.9,1900.0,4835.0,54.0,189.0,105,84.0,48.0,3.0,3.0,13.9
29,3513,2016-05-05,28,1.568,13.9,4.0,1800.0,4672.0,56.0,192.0,112,72.0,64.0,3.0,3.0,13.9
30,3514,2016-05-05,29,1.512,13.2,3.9,1600.0,4295.0,51.0,188.0,113,83.0,39.0,3.0,4.0,13.3
31,3515,2016-06-05,28,1.429,8.8,4.0,1000.0,3966.0,49.0,187.0,112,78.0,71.0,3.0,5.0,12.4
32,3516,2016-06-05,27,1.454,7.5,4.1,900.0,3198.0,53.0,189.0,111,45.0,80.0,3.0,5.0,12.9
33,3517,2016-06-05,26,1.371,9.4,4.1,1100.0,3389.0,52.0,189.0,107,29.0,87.0,3.0,5.0,12.5
34,3518,2016-06-05,17,0.871,8.9,4.1,1000.0,2966.0,50.0,187.0,70,27.0,82.0,3.0,5.0,12.2
35,3519,2016-06-05,13,0.661,8.0,4.1,900.0,2401.0,50.0,189.0,53,29.0,68.0,3.0,5.0,12.2
36,3520,2016-06-05,26,1.497,6.8,4.0,900.0,3375.0,57.0,190.0,104,41.0,79.0,3.0,5.0,14.1
37,3521,2016-06-05,26,1.517,7.6,4.0,1000.0,3331.0,57.0,187.0,104,45.0,66.0,3.0,5.0,14.1
38,3522,2016-06-05,27,1.44,6.4,3.9,800.0,2610.0,53.0,190.0,105,67.0,56.0,3.0,5.0,13.5
39,3523,2016-07-05,27,1.436,5.5,3.8,700.0,3023.0,52.0,191.0,103,74.0,39.0,3.0,5.0,13.9
40,3524,2016-07-05,27,1.432,6.9,3.7,900.0,2813.0,52.0,189.0,100,65.0,54.0,3.0,5.0,14.0
41,3525,2016-07-05,27,1.435,7.7,3.7,1000.0,2974.0,52.0,190.0,100,52.0,75.0,3.0,5.0,14.2
42,3526,2016-07-05,28,1.517,7.9,3.8,1000.0,2276.0,52.0,191.0,106,61.0,66.0,3.0,5.0,13.7
43,3527,2016-07-05,27,1.529,11.9,3.8,1600.0,2605.0,55.0,189.0,103,63.0,50.0,3.0,4.0,14.4
44,3528,2016-07-05,31,1.514,12.1,3.6,1500.0,3551.0,48.0,188.0,112,83.0,44.0,3.0,4.0,13.4
45,3529,2016-07-05,33,1.46,13.3,3.6,1500.0,4699.0,44.0,191.0,119,59.0,57.0,3.0,4.0,12.2
46,3530,2016-08-05,32,1.44,16.8,3.6,1900.0,5060.0,44.0,187.0,115,68.0,60.0,4.0,3.0,12.1
47,3531,2016-08-05,33,1.532,14.8,4.2,1500.0,4278.0,46.0,187.0,139,60.0,70.0,4.0,3.0,10.9
48,3532,2016-08-05,29,1.501,15.2,4.0,1800.0,4580.0,51.0,187.0,116,67.0,74.0,4.0,3.0,12.8
49,3533,2016-08-05,27,1.532,15.8,4.1,2000.0,4743.0,56.0,187.0,111,65.0,64.0,4.0,3.0,13.8
50,3534,2016-08-05,28,1.721,14.8,3.9,1900.0,4682.0,54.0,189.0,109,68.0,58.0,4.0,3.0,13.9
51,3535,2016-08-05,23,1.295,15.7,4.2,2000.0,5550.0,58.0,190.0,97,84.0,60.0,4.0,3.0,13.6
52,3536,2016-09-05,28,1.521,14.0,4.2,1700.0,4828.0,55.0,194.0,118,65.0,55.0,4.0,3.0,13.2
53,3537,2016-09-05,27,1.439,12.0,4.2,1400.0,4697.0,53.0,189.0,113,61.0,59.0,4.0,4.0,12.6
54,3538,2016-09-05,29,1.537,12.4,3.9,1500.0,3489.0,51.0,191.0,113,56.0,57.0,3.0,4.0,13.2
55,3539,2016-09-05,23,1.259,7.2,3.9,900.0,3222.0,53.0,189.0,90,60.0,65.0,3.0,5.0,13.8
56,3540,2016-09-05,27,1.503,10.5,4.1,1300.0,3499.0,55.0,186.0,111,51.0,64.0,3.0,4.0,13.4
57,3541,2016-09-05,26,1.516,15.2,4.3,1900.0,4319.0,58.0,190.0,112,59.0,78.0,3.0,3.0,13.6
58,3542,2016-09-05,25,1.497,14.6,4.2,1900.0,3826.0,59.0,191.0,105,71.0,77.0,3.0,3.0,14.2
59,3543,2016-09-05,26,1.542,14.2,4.3,1800.0,3854.0,59.0,191.0,112,70.0,87.0,3.0,3.0,13.7
60,3544,2016-09-05,26,1.521,19.0,4.3,2300.0,4439.0,56.0,188.0,112,71.0,67.0,3.0,2.0,13.1
61,3545,2016-10-05,29,1.532,21.4,4.3,2400.0,5320.0,52.0,189.0,125,61.0,60.0,3.0,2.0,12.1
62,3546,2016-10-05,29,1.526,20.1,4.3,2300.0,5428.0,53.0,192.0,125,60.0,70.0,3.0,2.0,12.2
63,3547,2016-10-05,28,1.557,13.1,4.1,1600.0,5257.0,54.0,190.0,115,82.0,71.0,4.0,4.0,13.1
64,3548,2016-10-05,29,1.505,13.1,4.5,1400.0,4942.0,52.0,190.0,131,74.0,52.0,4.0,4.0,11.5
65,3549,2016-10-05,28,1.538,12.4,4.2,1500.0,4053.0,55.0,190.0,118,75.0,45.0,4.0,4.0,13.2
66,3550,2016-10-05,27,1.527,9.2,3.9,1200.0,3551.0,55.0,188.0,105,67.0,63.0,4.0,5.0,14.2
67,3551,2016-10-05,27,1.511,10.5,4.2,1300.0,3592.0,56.0,189.0,113,58.0,73.0,4.0,4.0,13.4
68,3552,2016-10-05,26,1.512,9.0,4.3,1100.0,3767.0,57.0,190.0,112,54.0,81.0,3.0,5.0,13.2
69,3553,2016-10-05,26,1.534,8.7,4.3,1100.0,3083.0,59.0,189.0,112,39.0,80.0,3.0,5.0,13.5
70,3554,2016-11-05,26,1.54,8.0,4.3,1000.0,2605.0,58.0,192.0,112,45.0,66.0,3.0,5.0,13.7
71,3555,2016-11-05,15,0.755,8.0,4.1,900.0,2821.0,50.0,189.0,62,47.0,73.0,3.0,5.0,12.3
72,3556,2016-11-05,16,0.796,10.1,4.1,1100.0,3345.0,48.0,188.0,66,62.0,75.0,3.0,4.0,11.9
73,3557,2016-11-05,27,1.561,14.0,4.1,1800.0,3954.0,57.0,191.0,111,65.0,69.0,3.0,3.0,13.8
74,3558,2016-11-05,26,1.513,12.5,4.2,1600.0,3796.0,58.0,191.0,109,65.0,83.0,3.0,4.0,13.7
75,3559,2016-11-05,26,1.565,12.7,4.4,1600.0,4131.0,60.0,189.0,114,64.0,82.0,3.0,4.0,13.6
76,3560,2016-11-05,25,1.518,13.4,4.3,1700.0,3884.0,59.0,188.0,108,77.0,75.0,3.0,4.0,13.8
77,3561,2016-11-05,36,1.497,16.1,3.6,1700.0,4887.0,41.0,188.0,130,65.0,68.0,3.0,3.0,11.4
78,3562,2016-05-13,29,1.564,14.6,4.2,1700.0,5071.0,53.0,187.0,122,63.0,68.0,3.0,3.0,12.7
79,3563,2016-05-13,26,1.537,14.3,4.2,1800.0,4491.0,57.0,188.0,109,56.0,61.0,3.0,3.0,13.7
80,3564,2016-05-13,30,1.53,10.6,4.1,1200.0,3757.0,50.0,189.0,123,46.0,82.0,3.0,4.0,12.0
81,3565,2016-05-13,27,1.526,10.5,4.2,1300.0,3729.0,56.0,188.0,113,70.0,64.0,3.0,4.0,13.5
82,3566,2016-05-13,26,1.516,12.7,4.2,1600.0,3751.0,57.0,190.0,109,56.0,61.0,3.0,4.0,13.7
83,3567,2016-05-13,27,1.555,11.3,4.2,1400.0,3678.0,56.0,187.0,113,67.0,82.0,3.0,4.0,13.3
84,3568,2016-05-14,27,1.525,10.5,3.9,1400.0,3861.0,56.0,189.0,105,77.0,65.0,3.0,4.0,14.1
85,3569,2016-05-14,27,1.525,11.8,4.0,1500.0,3604.0,55.0,188.0,108,65.0,67.0,3.0,4.0,13.9
