iter	Passed	Remaining
381	6547	10591
382	6570	10584
383	6585	10563
384	6599	10541
385	6612	10518
386	6624	10493
387	6637	10468
388	6651	10446
389	6666	10426
390	6682	10407
391	6696	10385
392	6709	10363
393	6722	10340
394	6734	10315
395	6748	10293
396	6775	10291
397	6793	10274
398	6809	10256
399	6823	10235
400	6840	10218
401	6861	10206
402	6876	10187
403	6889	10163
404	6898	10135
405	6910	10110
406	6923	10087
407	6936	10065
408	6945	10036
409	6959	10015
410	6977	10000
411	7007	10000
412	7023	9983
413	7036	9959
414	7045	9932
415	7057	9908
416	7072	9887
417	7085	9865
418	7094	9837
419	7106	9813
420	7119	9790
421	7130	9766
422	7141	9741
423	7153	9717
424	7165	9695
425	7175	9669
426	7196	9656
427	7208	9634
428	7222	9613
429	7235	9591
430	7246	9566
431	7259	9544
432	7270	9520
433	7289	9506
434	7305	9489
435	7318	9467
436	7332	9446
437	7343	9422
438	7354	9397
439	7366	9375
440	7378	9352
441	7388	9328
442	7399	9303
443	7414	9285
444	7430	9267
445	7441	9243
446	7451	9218
447	7463	9195
448	7474	9172
449	7483	9146
450	7500	9130
451	7512	9107
452	7524	9085
453	7533	9060
454	7544	9037
455	7555	9013
456	7565	8988
457	7577	8967
458	7589	8945
459	7600	8922
460	7611	8899
461	7626	8880
462	7638	8859
463	7651	8838
464	7662	8816
465	7673	8793
466	7686	8772
467	7696	8749
468	7708	8727
469	7722	8708
470	7737	8690
471	7752	8672
472	7766	8653
473	7776	8629
474	7788	8608
475	7799	8585
476	7814	8568
477	7824	8544
478	7842	8529
479	7881	8538
480	7900	8524
481	7933	8526
482	7944	8504
483	7954	8480
484	7965	8458
485	7978	8438
486	7989	8416
487	8000	8394
488	8013	8374
489	8027	8355
490	8039	8334
491	8052	8313
492	8062	8291
493	8076	8273
494	8091	8254
495	8106	8236
496	8117	8215
497	8128	8193
498	8139	8172
499	8149	8149
500	8161	8129
501	8174	8109
502	8192	8094
503	8207	8077
504	8222	8059
505	8235	8040
506	8244	8016
507	8261	8001
508	8277	7984
509	8290	7965
510	8303	7946
511	8317	7927
512	8326	7904
513	8339	7885
514	8351	7864
515	8360	7841
516	8373	7822
517	8383	7801
518	8392	7778
519	8406	7759
520	8418	7739
521	8429	7718
522	8440	7698
523	8453	7678
524	8467	7661
525	8480	7641
526	8493	7623
527	8510	7607
528	8521	7587
529	8534	7568
530	8547	7549
531	8558	7529
532	8568	7507
533	8579	7486
534	8588	7464
535	8600	7445
536	8613	7426
537	8631	7412
538	8647	7396
539	8662	7379
540	8680	7364
541	8698	7350
542	8714	7334
543	8728	7316
544	8743	7299
545	8758	7283
546	8771	7264
547	8781	7242
548	8792	7222
549	8802	7202
550	8815	7183
551	8826	7163
552	8836	7142
553	8847	7122
554	8859	7103
555	8869	7083
556	8878	7061
557	8896	7047
558	8911	7030
559	8924	7011
560	8935	6992
561	8946	6972
562	8957	6953
563	8969	6934
564	8979	6913
565	8990	6893
566	9002	6874
567	9013	6855
568	9025	6836
569	9037	6817
570	9049	6798
571	9058	6777
572	9070	6759
573	9081	6740
574	9093	6721
575	9110	6706
576	9126	6690
577	9141	6674
578	9157	6658
579	9172	6642
580	9185	6624
581	9195	6604
582	9204	6583
583	9217	6566
584	9228	6546
585	9238	6526
586	9249	6507
587	9258	6486
588	9270	6468
589	9281	6449
590	9290	6429
591	9303	6411
592	9321	6398
593	9336	6381
594	9348	6363
595	9357	6343
596	9368	6324
597	9380	6306
598	9390	6286
599	9399	6266
600	9409	6247
601	9419	6227
602	9431	6209
603	9443	6191
604	9454	6172
605	9467	6155
606	9478	6136
607	9489	6118
608	9498	6098
609	9509	6079
610	9518	6060
611	9545	6051
612	9563	6037
613	9578	6021
614	9592	6005
615	9608	5989
616	9622	5972
617	9633	5954
618	9644	5936
619	9655	5918
620	9664	5898
621	9676	5880
622	9688	5862
623	9697	5843
624	9708	5825
625	9719	5807
626	9729	5787
627	9741	5770
628	9758	5756
629	9774	5740
630	9786	5723
631	9795	5703
632	9806	5685
633	9817	5667
634	9826	5648
635	9839	5631
636	9852	5614
637	9861	5595
638	9872	5577
639	9884	5560
640	9894	5541
641	9904	5523
642	9917	5506
643	9926	5487
644	9937	5469
645	9949	5452
646	9967	5438
647	9982	5422
648	9993	5404
649	10007	5388
650	10022	5373
651	10036	5356
652	10052	5341
653	10071	5328
654	10084	5311
655	10095	5294
656	10105	5275
657	10116	5258
658	10127	5240
659	10137	5222
660	10148	5204
661	10159	5187
662	10173	5170
663	10186	5154
664	10201	5138
665	10213	5122
666	10223	5104
667	10233	5086
668	10244	5068
669	10253	5050
670	10266	5033
671	10277	5016
672	10287	4998
673	10297	4980
674	10310	4964
675	10319	4945
676	10329	4928
677	10340	4911
678	10350	4893
679	10362	4876
680	10375	4860
681	10390	4844
682	10400	4827
683	10414	4811
684	10425	4794
685	10441	4779
686	10457	4764
687	10472	4749
688	10486	4733
689	10498	4716
690	10512	4701
691	10524	4684
692	10535	4667
693	10544	4649
694	10557	4633
695	10568	4616
696	10592	4604
697	10609	4590
698	10621	4573
699	10633	4557
700	10643	4539
701	10656	4523
702	10669	4507
703	10680	4490
704	10692	4474
705	10705	4458
706	10719	4442
707	10732	4426
708	10742	4409
709	10753	4392
710	10763	4375
711	10773	4357
712	10785	4341
713	10799	4325
714	10812	4309
715	10824	4293
716	10836	4277
717	10849	4261
718	10860	4244
719	10869	4227
720	10882	4210
721	10895	4195
722	10955	4197
723	10970	4182
724	10985	4166
725	11001	4152
726	11020	4138
727	11032	4122
728	11055	4109
729	11072	4095
730	11083	4078
731	11152	4083
732	11181	4072
733	11209	4062
734	11243	4053
735	11272	4043
736	11308	4035
737	11330	4022
738	11352	4009
739	11372	3995
740	11389	3981
741	11408	3966
742	11439	3956
743	11477	3949
744	11506	3938
745	11538	3928
746	11562	3916
747	11585	3903
748	11615	3892
749	11638	3879
750	11663	3867
751	11698	3857
752	11725	3846
753	11748	3832
754	11773	3820
755	11796	3807
756	11815	3792
757	11839	3780
758	11862	3766
759	11881	3752
760	11913	3741
761	11940	3729
762	11959	3714
763	11980	3700
764	12001	3686
765	12020	3672
766	12039	3657
767	12062	3643
768	12079	3628
769	12099	3614
770	12116	3598
771	12146	3587
772	12167	3573
773	12194	3560
774	12214	3546
775	12244	3534
776	12268	3521
777	12294	3508
778	12314	3493
779	12335	3479
780	12367	3467
781	12397	3455
782	12426	3443
783	12456	3431
784	12480	3418
785	12505	3404
786	12525	3389
787	12542	3374
788	12560	3359
789	12586	3345
790	12606	3331
791	12624	3315
792	12642	3300
793	12657	3284
794	12677	3269
795	12697	3254
796	12716	3238
797	12729	3222
798	12743	3205
799	12761	3190
800	12779	3174
801	12803	3160
802	12824	3146
803	12840	3130
804	12858	3114
805	12874	3098
806	12892	3083
807	12925	3071
808	12949	3057
809	12973	3043
810	12997	3029
811	13034	3017
812	13057	3003
813	13080	2988
814	13104	2974
815	13123	2959
816	13143	2944
817	13164	2929
818	13189	2914
819	13205	2898
820	13221	2882
821	13237	2866
822	13262	2852
823	13287	2838
824	13303	2821
825	13317	2805
826	13334	2789
827	13350	2773
828	13365	2757
829	13383	2741
830	13397	2724
831	13410	2707
832	13425	2691
833	13452	2677
834	13482	2664
835	13499	2648
836	13516	2632
837	13533	2616
838	13548	2599
839	13565	2583
840	13586	2568
841	13611	2554
842	13631	2538
843	13652	2523
844	13681	2509
845	13710	2495
846	13730	2480
847	13753	2465
848	13775	2450
849	13794	2434
850	13813	2418
851	13829	2402
852	13847	2386
853	13861	2369
854	13877	2353
855	13902	2338
856	13921	2322
857	13943	2307
858	13958	2291
859	13973	2274
860	13990	2258
861	14007	2242
862	14023	2226
863	14039	2209
864	14054	2193
865	14076	2178
866	14118	2165
867	14149	2151
868	14171	2136
869	14200	2121
870	14220	2106
871	14238	2090
872	14254	2073
873	14271	2057
874	14286	2040
875	14303	2024
876	14322	2008
877	14346	1993
878	14364	1977
879	14386	1961
880	14403	1945
881	14420	1929
882	14435	1912
883	14452	1896
884	14466	1879
885	14482	1863
886	14501	1847
887	14518	1831
888	14534	1814
889	14557	1799
890	14580	1783
891	14600	1767
892	14628	1752
893	14656	1737
894	14677	1721
895	14704	1706
896	14736	1692
897	14768	1677
898	14797	1662
899	14826	1647
900	14854	1632
901	14876	1616
902	14895	1600
903	14920	1584
904	14935	1567
905	14952	1551
906	14968	1534
907	14989	1518
908	15013	1503
909	15035	1487
910	15051	1470
911	15066	1453
912	15080	1437
913	15096	1420
914	15109	1403
915	15127	1387
916	15140	1370
917	15155	1353
918	15170	1337
919	15185	1320
920	15208	1304
921	15230	1288
922	15343	1280
923	15382	1265
924	15408	1249
925	15446	1234
926	15472	1218
927	15492	1202
928	15514	1185
929	15541	1169
930	15568	1153
931	15588	1137
932	15607	1120
933	15627	1104
934	15646	1087
935	15673	1071
936	15692	1055
937	15707	1038
938	15735	1022
939	15755	1005
940	15775	989
941	15798	972
942	15818	956
943	15838	939
944	15856	922
945	15872	906
946	15914	890
947	15939	874
948	15959	857
949	15973	840
950	15988	823
951	16002	806
952	16018	790
953	16038	773
954	16053	756
955	16069	739
956	16085	722
957	16102	705
958	16118	689
959	16147	672
960	16178	656
961	16200	639
962	16219	623
963	16245	606
964	16268	590
965	16291	573
966	16310	556
967	16348	540
968	16372	523
969	16398	507
970	16423	490
971	16453	473
972	16479	457
973	16498	440
974	16515	423
975	16531	406
976	16546	389
977	16580	372
978	16603	356
979	16619	339
980	16635	322
981	16652	305
982	16668	288
983	16683	271
984	16698	254
985	16713	237
986	16731	220
987	16748	203
988	16763	186
989	16778	169
990	16805	152
991	16829	135
992	16909	119
993	16958	102
994	17037	85
995	17062	68
996	17123	51
997	17172	34
998	17194	17
999	17263	0
